,open_4,high_4,low_4,close_4,over_ema_4,trend_4,volume_diff_4,open_3,high_3,low_3,close_3,over_ema_3,trend_3,volume_diff_3,open_2,high_2,low_2,close_2,over_ema_2,trend_2,volume_diff_2,open_1,high_1,low_1,close_1,over_ema_1,trend_1,volume_diff_1,trend
91,-1.34,0.98,-6.56,-6.47,0.0,-1.0,0.453,-7.49,-4.84,-7.49,-5.14,0.0,-1.0,-0.7676,-14.19,-8.79,-21.39,-17.91,0.0,1.0,6.8254,-15.47,-5.57,-16.13,-10.75,0.0,1.0,-0.3895,1.0
92,-6.95,-4.3,-6.95,-4.6,0.0,-1.0,-0.7676,-13.65,-8.25,-20.85,-17.37,0.0,1.0,6.8254,-14.93,-5.03,-15.59,-10.21,0.0,1.0,-0.3895,-10.75,-5.68,-11.82,-7.42,0.0,1.0,0.2055,1.0
93,-12.95,-7.55,-20.15,-16.67,0.0,1.0,6.8254,-14.23,-4.33,-14.89,-9.51,0.0,1.0,-0.3895,-10.05,-4.98,-11.12,-6.72,0.0,1.0,0.2055,-7.68,-3.65,-8.43,-4.45,0.0,1.0,-0.2337,1.0
94,-13.89,-3.99,-14.55,-9.17,0.0,1.0,-0.3895,-9.71,-4.64,-10.78,-6.38,0.0,1.0,0.2055,-7.34,-3.31,-8.09,-4.11,0.0,1.0,-0.2337,-4.98,-2.46,-7.6,-6.26,0.0,1.0,-0.0347,1.0
95,-9.29,-4.22,-10.36,-5.96,0.0,1.0,0.2055,-6.92,-2.89,-7.67,-3.69,0.0,1.0,-0.2337,-4.56,-2.04,-7.18,-5.84,0.0,1.0,-0.0347,-5.89,-1.4,-6.45,-2.87,0.0,1.0,0.0205,1.0
96,-6.88,-2.85,-7.63,-3.65,0.0,1.0,-0.2337,-4.52,-2.0,-7.14,-5.8,0.0,1.0,-0.0347,-5.85,-1.36,-6.41,-2.83,0.0,1.0,0.0205,-2.99,-2.6,-7.59,-3.9,0.0,1.0,0.1833,1.0
97,-4.63,-2.11,-7.25,-5.91,0.0,1.0,-0.0347,-5.96,-1.47,-6.52,-2.94,0.0,1.0,0.0205,-3.1,-2.71,-7.7,-4.01,0.0,1.0,0.1833,-3.14,0.82,-3.41,-0.54,0.0,1.0,-0.1915,1.0
98,-6.19,-1.7,-6.75,-3.17,0.0,1.0,0.0205,-3.33,-2.94,-7.93,-4.24,0.0,1.0,0.1833,-3.37,0.59,-3.64,-0.77,0.0,1.0,-0.1915,-2.49,1.91,-3.49,0.87,1.0,1.0,-0.0083,1.0
99,-3.39,-3.0,-7.99,-4.3,0.0,1.0,0.1833,-3.43,0.53,-3.7,-0.83,0.0,1.0,-0.1915,-2.55,1.85,-3.55,0.81,1.0,1.0,-0.0083,1.37,2.3,-0.04,2.13,1.0,1.0,-0.5026,0.0
100,-3.71,0.25,-3.98,-1.11,0.0,1.0,-0.1915,-2.83,1.57,-3.83,0.53,1.0,1.0,-0.0083,1.09,2.02,-0.32,1.85,1.0,1.0,-0.5026,1.92,3.07,-0.83,0.22,1.0,0.0,0.7329,-1.0
