var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
Credit Registry Information,['Credit Registry Information_Not have history'],540,506,34,0.1706700379266751,0.937037037037037,-0.32141225125272727,0.020434391242456048,1.1159043112699703
Monthly Installment of the loan,"(-INF,7151.870000000001]",222,176,46,0.07016434892541087,0.7927927927927928,-1.679744659560292,0.42764572546425106,1.5027870200395212
Monthly Installment of the loan,"(7151.870000000001,8814.0]",205,185,20,0.06479140328697851,0.9024390243902439,-0.7969665603030966,0.05956199533854405,1.5027870200395212
Monthly Installment of the loan,"(8814.0,9054.0]",219,203,16,0.06921618204804046,0.9269406392694064,-0.48097415294807155,0.019988709450456044,1.5027870200395212
Monthly Installment of the loan,"(9054.0,9525.0]",180,172,8,0.056890012642225034,0.9555555555555556,0.04645536422659656,0.00012021994512411493,1.5027870200395212
Monthly Installment of the loan,"(9525.0,11057.0]",194,164,30,0.06131479140328698,0.845360824742268,-1.3229193297901478,0.19807230459273426,1.5027870200395212
Monthly Installment of the loan,"(11057.0,12350.0]",191,175,16,0.06036662452591656,0.9162303664921466,-0.6293940792486525,0.031998108092510046,1.5027870200395212
Monthly Installment of the loan,"(12350.0,13533.18]",300,282,18,0.09481668773704172,0.94,-0.27005554026863327,0.00782601834383512,1.5027870200395212
Monthly Installment of the loan,"(13533.18,15096.880000000005]",221,193,28,0.06984829329962074,0.8733031674208145,-1.0911030269382562,0.13803108569115058,1.5027870200395212
Monthly Installment of the loan,"(15096.880000000005,15965.56]",243,239,4,0.07680151706700379,0.9835390946502057,1.0685589571537446,0.055571727716027364,1.5027870200395212
Monthly Installment of the loan,"(15965.56,17999.0]",234,218,16,0.07395701643489254,0.9316239316239316,-0.40968510309599465,0.014989138786018001,1.5027870200395212
Monthly Installment of the loan,"(17999.0,21023.340000000004]",242,206,36,0.07648546144121365,0.8512396694214877,-1.2772307143839983,0.225583030453087,1.5027870200395212
Monthly Installment of the loan,"(21023.340000000004,22819.0]",221,219,2,0.06984829329962074,0.9909502262443439,1.6742893547470892,0.09875389732509947,1.5027870200395212
Monthly Installment of the loan,"(22819.0,28371.0]",197,169,28,0.06226295828065739,0.8578680203045685,-1.223894427338848,0.16456598017853066,1.5027870200395212
Monthly Installment of the loan,"(28371.0,+INF)",295,269,26,0.09323640960809103,0.911864406779661,-0.6849742851992747,0.060079078662153555,1.5027870200395212
Other installments of other loans,"(-INF,+INF)",3164,2870,294,1.0,0.9070796460176991,-0.7430984162581311,0.7793055485090887,0.7793055485090887
Monthly Income ,"(-INF,32681.4]",227,185,42,0.07174462705436156,0.8149779735682819,-1.5389012859945204,0.3453228953065458,1.331431119627373
Monthly Income ,"(32681.4,39796.560000000005]",190,170,20,0.06005056890012642,0.8947368421052632,-0.8815239006364329,0.07026424610846335,1.331431119627373
Monthly Income ,"(39796.560000000005,44800.0]",162,138,24,0.05120101137800253,0.8518518518518519,-1.2723892395916332,0.1495377376763124,1.331431119627373
Monthly Income ,"(44800.0,51000.0]",259,237,22,0.08185840707964602,0.915057915057915,-0.6445720881068852,0.045832720684014866,1.331431119627373
Monthly Income ,"(51000.0,57300.479999999996]",173,165,8,0.05467762326169406,0.953757225433526,0.004906385978966662,1.3133102864292198e-06,1.331431119627373
Monthly Income ,"(57300.479999999996,65958.0]",294,256,38,0.09292035398230089,0.8707482993197279,-1.1139966085777093,0.1934472333196476,1.331431119627373
Monthly Income ,"(65958.0,70000.0]",173,161,12,0.05467762326169406,0.930635838150289,-0.42509564936465377,0.012017042109533577,1.331431119627373
Monthly Income ,"(70000.0,79606.1]",262,226,36,0.08280657395701643,0.8625954198473282,-1.1845719268602906,0.20136509335565653,1.331431119627373
Monthly Income ,"(79606.1,87637.8]",266,258,8,0.084070796460177,0.9699248120300752,0.45192027853640493,0.014051555786815937,1.331431119627373
Monthly Income ,"(87637.8,98000.0]",288,262,26,0.09102402022756005,0.9097222222222222,-0.7113411511078432,0.06404215936528455,1.331431119627373
Monthly Income ,"(98000.0,106000.0]",277,267,10,0.08754740834386852,0.9638989169675091,0.26306828760764367,0.00538517895776823,1.331431119627373
Monthly Income ,"(106000.0,117009.99999999999]",166,164,2,0.05246523388116309,0.9879518072289156,1.385084205889798,0.05644570656999253,1.331431119627373
Monthly Income ,"(117009.99999999999,149050.56000000003]",231,209,22,0.07300884955752213,0.9047619047619048,-0.7702979207492595,0.06192147501603184,1.331431119627373
Monthly Income ,"(149050.56000000003,+INF)",196,172,24,0.061946902654867256,0.8775510204081632,-1.0521485911776238,0.11179676206101934,1.331431119627373
Reference,"['Reference from bank staff', 'Reference_no information']",1224,1086,138,0.3868520859671302,0.8872549019607843,-0.9585834696000404,0.5548433842999975,0.8296599148405683
Reference,['Reference not from bank staff'],1940,1784,156,0.6131479140328698,0.9195876288659793,-0.5848289314615328,0.27481653054057087,0.8296599148405683
